ChannelNumberComingOutFromProbe,X,Y,Z,ShankNumber,ChannelNumberComingOutPreAmp,isActive
1,5000,0,0,1,16,1
2,5000,0,20,1,15,1
3,5000,0,40,1,14,1
4,5000,0,60,1,13,1
5,5000,0,80,1,12,1
6,5000,0,100,1,11,1
7,5000,0,120,1,10,1
8,5000,0,140,1,9,1
9,5000,0,160,1,8,1
10,5000,0,180,1,7,1
11,5000,0,200,1,6,1
12,5000,0,220,1,5,1
13,5000,0,240,1,4,1
14,5000,0,260,1,3,1
15,5000,0,280,1,2,1
16,5000,0,300,1,1,1
17,5000,0,320,1,32,1
18,5000,0,340,1,31,1
19,5000,0,360,1,30,1
20,5000,0,380,1,29,1
21,5000,0,400,1,28,1
22,5000,0,420,1,27,1
23,5000,0,440,1,26,1
24,5000,0,460,1,25,1
25,5000,0,480,1,24,1
26,5000,0,500,1,23,1
27,5000,0,520,1,22,1
28,5000,0,540,1,21,1
29,5000,0,560,1,20,1
30,5000,0,580,1,19,1
31,5000,0,600,1,18,1
32,5000,0,620,1,17,1
33,5000,0,640,1,48,1
34,5000,0,660,1,47,1
35,5000,0,680,1,46,1
36,5000,0,700,1,45,1
37,5000,0,720,1,44,1
38,5000,0,740,1,43,1
39,5000,0,760,1,42,1
40,5000,0,780,1,41,1
41,5000,0,800,1,40,1
42,5000,0,820,1,39,1
43,5000,0,840,1,38,1
44,5000,0,860,1,37,1
45,5000,0,880,1,36,1
46,5000,0,900,1,35,1
47,5000,0,920,1,34,1
48,5000,0,940,1,33,1
49,5000,0,960,1,64,1
50,5000,0,980,1,63,1
51,5000,0,1000,1,62,1
52,5000,0,1020,1,61,1
53,5000,0,1040,1,60,1
54,5000,0,1060,1,59,1
55,5000,0,1080,1,58,1
56,5000,0,1100,1,57,1
57,5000,0,1120,1,56,1
58,5000,0,1140,1,55,1
59,5000,0,1160,1,54,1
60,5000,0,1180,1,53,1
61,5000,0,1200,1,52,1
62,5000,0,1220,1,51,1
63,5000,0,1240,1,50,1
64,5000,0,1260,1,49,1
65,5000,0,1280,1,80,1
66,5000,0,1300,1,79,1
67,5000,0,1320,1,78,1
68,5000,0,1340,1,77,1
69,5000,0,1360,1,76,1
70,5000,0,1380,1,75,1
71,5000,0,1400,1,74,1
72,5000,0,1420,1,73,1
73,5000,0,1440,1,72,1
74,5000,0,1460,1,71,1
75,5000,0,1480,1,70,1
76,5000,0,1500,1,69,1
77,5000,0,1520,1,68,1
78,5000,0,1540,1,67,1
79,5000,0,1560,1,66,1
80,5000,0,1580,1,65,1
81,5000,0,1600,1,96,1
82,5000,0,1620,1,95,1
83,5000,0,1640,1,94,1
84,5000,0,1660,1,93,1
85,5000,0,1680,1,92,1
86,5000,0,1700,1,91,1
87,5000,0,1720,1,90,1
88,5000,0,1740,1,89,1
89,5000,0,1760,1,88,1
90,5000,0,1780,1,87,1
91,5000,0,1800,1,86,1
92,5000,0,1820,1,85,1
93,5000,0,1840,1,84,1
94,5000,0,1860,1,83,1
95,5000,0,1880,1,82,1
96,5000,0,1900,1,81,1
97,5000,0,1920,1,112,1
98,5000,0,1940,1,111,1
99,5000,0,1960,1,110,1
100,5000,0,1980,1,109,1
101,5000,0,2000,1,108,1
102,5000,0,2020,1,107,1
103,5000,0,2040,1,106,1
104,5000,0,2060,1,105,1
105,5000,0,2080,1,104,1
106,5000,0,2100,1,103,1
107,5000,0,2120,1,102,1
108,5000,0,2140,1,101,1
109,5000,0,2160,1,100,1
110,5000,0,2180,1,99,1
111,5000,0,2200,1,98,1
112,5000,0,2220,1,97,1
113,5000,0,2240,1,128,1
114,5000,0,2260,1,127,1
115,5000,0,2280,1,126,1
116,5000,0,2300,1,125,1
117,5000,0,2320,1,124,1
118,5000,0,2340,1,123,1
119,5000,0,2360,1,122,1
120,5000,0,2380,1,121,1
121,5000,0,2400,1,120,1
122,5000,0,2420,1,119,1
123,5000,0,2440,1,118,1
124,5000,0,2460,1,117,1
125,5000,0,2480,1,116,1
126,5000,0,2500,1,115,1
127,5000,0,2520,1,114,1
128,5000,0,2540,1,113,1
129,-20.5,0,0,2,153,1
130,16.5,0,20,2,149,1
131,-16.5,0,40,2,152,1
132,12.5,0,60,2,156,1
133,-12.5,0,80,2,154,1
134,8.5,0,100,2,150,1
135,-8.5,0,120,2,151,1
136,0,0,140,2,155,1
137,-20.5,0,0,2,157,1
138,16.5,0,20,2,145,1
139,-16.5,0,40,2,148,1
140,12.5,0,60,2,160,1
141,-12.5,0,80,2,158,1
142,8.5,0,100,2,146,1
143,-8.5,0,120,2,147,1
144,0,0,140,2,159,1
145,-20.5,0,0,2,144,1
146,16.5,0,20,2,132,1
147,-16.5,0,40,2,129,1
148,12.5,0,60,2,141,1
149,-12.5,0,80,2,143,1
150,8.5,0,100,2,131,1
151,-8.5,0,120,2,130,1
152,0,0,140,2,142,1
153,-20.5,0,0,2,140,1
154,16.5,0,20,2,136,1
155,-16.5,0,40,2,133,1
156,12.5,0,60,2,137,1
157,-12.5,0,80,2,139,1
158,8.5,0,100,2,135,1
159,-8.5,0,120,2,134,1
160,0,0,140,2,138,1
161,0,0,0,3,161,1
162,0,0,0,3,162,1
163,0,0,0,3,163,1
164,0,0,0,3,164,1
165,0,0,0,3,165,1
166,0,0,0,3,166,1
167,0,0,0,3,167,1
168,0,0,0,3,168,1
